#Hit,Channel,DayTime,Energy,Duration,Amplitude,ASL,FRQC
3654,10,293.847215,0,0,45,27,370
3655,13,293.6647702,0,0,45,19,462
3656,6,293.4914958,3,252,62,15,367
3657,6,293.1860108,2,232,67,23,320
3658,6,292.9322795,0,11,52,19,492
3659,6,292.9316365,2,189,67,19,311
3660,6,292.9301585,7,151,79,19,273
3661,6,292.8082108,0,27,57,28,368
3662,20,292.662515,0,0,45,19,400
3663,6,292.5063938,10,346,75,28,306
3664,6,292.5035048,26,670,85,34,20
3665,4,292.5032928,13,420,46,21,443
3666,7,292.5032908,13,436,46,21,424
3667,1,292.50329,13,429,46,21,440
3668,5,292.503288,13,439,46,21,436
3669,3,292.5032815,12,400,46,21,33
3670,2,292.5032718,11,378,46,19,470
3671,8,292.5032658,11,377,46,19,488
3672,6,292.4476155,1,298,58,34,373
3673,6,292.4452755,19,626,81,36,25
3674,7,292.4449135,6,246,45,25,409
3675,5,292.4448695,3,145,45,25,431
3676,1,292.444859,4,150,45,25,436
3677,4,292.4448288,2,107,45,25,406
3678,6,292.3975055,1,143,56,35,389
3679,14,292.279302,0,3,47,19,437
3680,11,292.033442,0,65,46,23,378
3681,12,291.8076948,5,320,52,25,30
3682,6,291.7043085,0,1,51,15,649
3683,16,291.5289788,0,33,46,21,404
3684,11,291.417386,5,457,49,25,315
3685,12,291.4165278,0,5,46,26,332
3686,20,291.2891518,0,0,45,19,332
3687,13,291.0395362,0,14,46,19,481
3688,13,290.4396398,0,0,45,19,343
3689,6,290.0649265,11,971,73,15,385
3690,6,290.0433112,4,491,71,23,475
3691,6,290.0419878,0,6,56,23,459
3692,6,290.0251178,6,572,69,25,341
3693,6,289.6295515,4,158,72,26,295
3694,6,289.628544,2,219,68,26,333
3695,6,289.6272178,1,7,72,26,289
3696,6,289.2994012,0,11,63,26,375
3697,6,289.2978952,1,25,54,26,469
3698,6,289.2945548,31,721,86,26,16
3699,1,289.2943842,18,534,47,21,397
3700,7,289.2943832,18,549,47,19,401
3701,5,289.294383,18,536,47,21,409
3702,4,289.2943818,18,540,47,21,419
3703,3,289.2943718,17,42,47,19,439
3704,2,289.2943695,16,505,47,19,413
3705,8,289.2943685,16,488,47,19,447
3706,6,289.187167,5,401,68,35,378
3707,6,289.1657552,4,282,72,35,283
3708,9,288.9476625,1,61,50,19,370
3709,10,288.946648,0,4,45,26,337
3710,6,288.8061162,0,1,51,35,532
3711,13,288.7096358,0,0,45,19,387
3712,6,288.6265958,5,566,70,15,298
3713,6,288.6242158,18,733,78,15,279
3714,6,288.4804088,0,144,49,28,579
3715,12,288.4036852,2,175,48,25,319
3716,6,287.2172245,0,2,49,15,675
3717,6,287.2153235,1,13,68,15,359
3718,6,287.2133875,2,7,74,15,279
3719,6,287.2127225,3,11,78,15,27
3720,12,287.1102212,0,10,47,25,339
3721,12,286.9603785,1,155,47,26,308
3722,6,286.8188882,3,133,66,28,305
3723,11,286.4060355,0,0,45,23,401
3724,6,286.14478,2,553,67,15,419
3725,6,286.1430475,6,128,79,15,27
3726,11,285.4490225,0,5,45,23,353
3727,12,285.2217215,0,46,47,25,350
3728,6,285.1609015,0,37,57,15,385
3729,6,285.0368772,2,277,59,15,292
3730,16,284.7362132,0,0,45,21,468
