File selected         : C:\tests\ae-tank-txt-summary\mistras-tank-sample-2.txt
File size             : 0.85 MB (893,414 bytes)

Total AEHits          : 10036
Total Channel Count   : 22
Total Channel Missing : 1

Channel         AEHits
      1            170
      2            161
      3            163
      4            164
      5            166
      6           5341
      7            193
      8            157
      9             30
     10            786
     11            605
     12            472
     13            456
     14             54
     15              3
     16            282
     17              0
     18             31
     19              5
     20            125
     21             45
     22            627

HIT DRIVEN DATA:
           Chan          Minimum          Maximum          Average           StdDev
A-FRQ        11           0.0000        1000.0000          99.4215         194.1656
FRQ-C        11          17.0000         548.0000         389.0281          61.0341
DayTime      12           1.0530        1393.1107         505.6903         426.6490
PARA1        12          -0.0165           0.0189           0.0006           0.0069
RISE         12           0.0000         750.0000          66.8962         110.2013
COUN         12           1.0000         127.0000           7.1949          12.4063
ENER         12           0.0000          50.0000           2.8347           5.2720
DURATION     12           0.0000        2930.0000         217.0890         351.0584
AMP          12          45.0000          58.0000          47.0699           2.3812
ASL          12          25.0000          39.0000          25.2945           0.9926
A-FRQ        12           0.0000        1000.0000          78.6864         150.0945
FRQ-C        12          17.0000         486.0000         316.0445          70.7146
DayTime      13           1.3677        1393.2628         507.5284         432.2971
PARA1        13          -0.0177           0.0201           0.0006           0.0071
RISE         13           0.0000         372.0000          28.2215          44.1480
COUN         13           1.0000          24.0000           3.4956           3.3348
ENER         13           0.0000           7.0000           0.6031           1.1224
DURATION     13           0.0000         402.0000          56.3531          73.2688
AMP          13          45.0000          57.0000          46.7895           2.0498
ASL          13          19.0000          34.0000          20.7434           1.2377
A-FRQ        13           0.0000        1000.0000         105.9364         140.9789
FRQ-C        13          18.0000         533.0000         370.4101          64.8375
DayTime      14          19.5887        1369.5791         429.1418         345.0981
PARA1        14          -0.0110           0.0217           0.0005           0.0064
RISE         14           0.0000         407.0000          27.4444          66.6123
COUN         14           1.0000         124.0000           8.9815          22.3129
ENER         14           0.0000          49.0000           3.3148          10.0861
DURATION     14           0.0000        2266.0000         156.1481         469.2699
AMP          14          45.0000          59.0000          47.8333           3.5222
ASL          14          19.0000          29.0000          19.1852           1.3608
A-FRQ        14           0.0000        1000.0000         129.0185         185.6793
FRQ-C        14          31.0000         601.0000         417.1296         122.7924
DayTime      15         206.8540         517.8183         395.6908         165.8683
PARA1        15          -0.0015           0.0119           0.0037           0.0072
RISE         15         146.0000         202.0000         171.3333          28.3784
COUN         15           4.0000          28.0000          17.0000          12.1244
ENER         15           3.0000          13.0000           7.6667           5.0332
DURATION     15         365.0000        1246.0000         750.6667         450.6222
AMP          15          47.0000          51.0000          49.0000           2.0000
ASL          15          15.0000          15.0000          15.0000           0.0000
A-FRQ        15          11.0000          30.0000          21.0000           9.5394
FRQ-C        15         281.0000         347.0000         309.0000          34.1174
DayTime      16           4.0630        1392.1653         476.9218         440.3652
